url,nome,generos,ano_formacao,anos_atividade,temas,ano_primeiro_lancamento,lancou_album_completo,gravadora_mais_recente
https://www.metal-archives.com/bands/Queiron/7231,Queiron,brutal|death,1995,1995-present,anti-christianity|blasphemy|darkness|death,1996,True,Butchered Records
https://www.metal-archives.com/bands/Raging_Angels/50145,Raging Angels,progressive,1999,1999-?,epic|history,2000,True,Unsigned/independent
https://www.metal-archives.com/bands/Ragnarok/86958,Ragnarok,heavy,1986,1986-?,nao_informado,1989,False,Unsigned/independent
https://www.metal-archives.com/bands/Rainy_Nights/3540449962,Rainy Nights,melodic|power,2003,2003-present,war|fantasy|life|dreams,2004,False,Unsigned/independent
https://www.metal-archives.com/bands/Ranger/3540318307,Ranger,heavy,1987,1987-1990,nao_informado,1987,False,Unsigned/independent
https://www.metal-archives.com/bands/RavenLord/3540422547,RavenLord,gothic|rock,2009,2009-present,darkness|pain|obscure|side,2010,False,Unsigned/independent
https://www.metal-archives.com/bands/Ready_to_Explode/3540308426,Ready to Explode,thrash,2007,2007-2012,nao_informado,2009,False,Impure Lust Cult
https://www.metal-archives.com/bands/Real_Insane/3540425940,Real Insane,thrash,2015,2015-present,nao_informado,2017,False,Unsigned/independent
https://www.metal-archives.com/bands/Realm_of_Illusion/3540543947,Realm of Illusion,thrash|heavy,2018,2018-present,nao_informado,2022,True,Unsigned/independent
https://www.metal-archives.com/bands/Reborn/127378,Reborn,thrash,1996,"1996-2011, 2014-?",christianity,1999,True,Unsigned/independent
https://www.metal-archives.com/bands/Red_n%27_Hell/3540268597,Red n' Hell,death|thrash,2006,"2004-2006 (as B.F. Metal), 2006-present",gore|anti-religion|paganism,2008,False,Unsigned/independent
https://www.metal-archives.com/bands/Redrum/3540449294,Redrum,thrash,1996,1996-1998,nao_informado,1997,False,Unsigned/independent
https://www.metal-archives.com/bands/Regiment/3540556667,Regiment,death,2024,2024-present,nao_informado,2024,False,Unsigned/independent
https://www.metal-archives.com/bands/Regrezion/85224,Regrezion,melodic|death|thrash,2003,2003-?,philosophy|death|and|life,2003,False,Beethoven Studio
https://www.metal-archives.com/bands/Regurgimenta%C3%A7%C3%A3o_Necrovaginal_Sangrenta/3540397033,Regurgimentação Necrovaginal Sangrenta,grindcore|death,2014,2014-present,gore|splatter|pathology|nonsense|death|horror,2015,True,Unsigned/independent
https://www.metal-archives.com/bands/Renewar/3540479527,Renewar,thrash,2009,2009-present,nao_informado,2011,False,Unsigned/independent
https://www.metal-archives.com/bands/Repuls%C3%A3o_Expl%C3%ADcita/3540285678,Repulsão Explícita,thrash|crossover,2001,2001-present,social|themes,2002,True,Violent Records
https://www.metal-archives.com/bands/Resist%C3%AAncia_Terminal/92180,Resistência Terminal,death|thrash,2005,2005-present,nao_informado,2006,False,Unsigned/independent
https://www.metal-archives.com/bands/Resurrector/116860,Resurrector,thrash,1999,"1999-? (as Armaggedon), 2003-present",human|beings|redemption|fear|feelings|god,2006,True,Unsigned/independent
https://www.metal-archives.com/bands/Rethurno/3540420121,Rethurno,thrash,2008,2008-present,nao_informado,2016,True,Unsigned/independent
https://www.metal-archives.com/bands/Richlord/77004,Richlord,heavy,2004,"2004-2012, 2013-2017, 2019-present",heavy,2004,False,Unsigned/independent
https://www.metal-archives.com/bands/Rider/3540370720,Rider,heavy,2011,"2009-2011 (as Agincourt), 2011-present",fantasy|history|life,2012,True,Unsigned/independent
https://www.metal-archives.com/bands/Ridesky/3540493823,Ridesky,heavy,2020,2020-present,nao_informado,2020,False,Unsigned/independent
https://www.metal-archives.com/bands/Riffcoven/3540436054,Riffcoven,doom|stoner,2016,2016-present,fantasy|conan,2018,True,Unsigned/independent
https://www.metal-archives.com/bands/Rigidity_Cadaveric/3540278132,Rigidity Cadaveric,death,1989,1989-1990,nao_informado,1990,False,Unsigned/independent
https://www.metal-archives.com/bands/Rito_Arcaico/3540565066,Rito Arcaico,black,2022,2022-present,death|afro-brazilian|religion,2025,False,Clava Records
https://www.metal-archives.com/bands/Ritual/29678,Ritual,death|thrash,1987,"1986-1987, 1987-1988 (as Exhumer), 1988-1991 (as Psychic Possessor)",horror|reality|evil,1987,False,Unsigned/independent
